Province,Municipality,Barangay
 Agusan del Norte, Butuan,Agao Poblacion
 Agusan del Norte, Butuan,Agusan Pequeño
 Agusan del Norte, Butuan,Ambago
 Agusan del Norte, Butuan,Amparo
 Agusan del Norte, Butuan,Ampayon
 Agusan del Norte, Butuan,Anticala
 Agusan del Norte, Butuan,Antongalon
 Agusan del Norte, Butuan,Aupagan
 Agusan del Norte, Butuan,Baan KM 3
 Agusan del Norte, Butuan,Baan Riverside Poblacion
 Agusan del Norte, Butuan,Babag
 Agusan del Norte, Butuan,Bading Poblacion
 Agusan del Norte, Butuan,Bancasi
 Agusan del Norte, Butuan,Banza
 Agusan del Norte, Butuan,Baobaoan
 Agusan del Norte, Butuan,Basag
 Agusan del Norte, Butuan,Bayanihan Poblacion
 Agusan del Norte, Butuan,Bilay
 Agusan del Norte, Butuan,Bit-os
 Agusan del Norte, Butuan,Bitan-agan
 Agusan del Norte, Butuan,Bobon
 Agusan del Norte, Butuan,Bonbon
 Agusan del Norte, Butuan,Bugabus
 Agusan del Norte, Butuan,Bugsukan
 Agusan del Norte, Butuan,Buhangin Poblacion
 Agusan del Norte, Butuan,Cabcabon
 Agusan del Norte, Butuan,Camayahan
 Agusan del Norte, Butuan,Dagohoy Poblacion
 Agusan del Norte, Butuan,Dankias
 Agusan del Norte, Butuan,De Oro
 Agusan del Norte, Butuan,Diego Silang Poblacion
 Agusan del Norte, Butuan,Don Francisco
 Agusan del Norte, Butuan,Doongan
 Agusan del Norte, Butuan,Dulag
 Agusan del Norte, Butuan,Dumalagan
 Agusan del Norte, Butuan,Florida
 Agusan del Norte, Butuan,Golden Ribbon Poblacion
 Agusan del Norte, Butuan,Holy Redeemer Poblacion
 Agusan del Norte, Butuan,Humabon Poblacion
 Agusan del Norte, Butuan,Imadejas Poblacion
 Agusan del Norte, Butuan,Jose Rizal Poblacion
 Agusan del Norte, Butuan,Kinamlutan
 Agusan del Norte, Butuan,Lapu-lapu Poblacion
 Agusan del Norte, Butuan,Lemon
 Agusan del Norte, Butuan,Leon Kilat Poblacion
 Agusan del Norte, Butuan,Libertad
 Agusan del Norte, Butuan,Limaha Poblacion
 Agusan del Norte, Butuan,Los Angeles
 Agusan del Norte, Butuan,Lumbocan
 Agusan del Norte, Butuan,Maguinda
 Agusan del Norte, Butuan,Mahay
 Agusan del Norte, Butuan,Mahogany Poblacion
 Agusan del Norte, Butuan,Maibu
 Agusan del Norte, Butuan,Mandamo
 Agusan del Norte, Butuan,Manila de Bugabus
 Agusan del Norte, Butuan,Maon Poblacion
 Agusan del Norte, Butuan,Masao
 Agusan del Norte, Butuan,Maug
 Agusan del Norte, Butuan,New Society Village Poblacion
 Agusan del Norte, Butuan,Nong-nong
 Agusan del Norte, Butuan,Obrero Poblacion
 Agusan del Norte, Butuan,Ong Yiu Poblacion
